,DATASET,DATE,TIME,ROAD TEAM,HOME TEAM,TOTAL GAME MINUTES,ROAD TEAM FINAL SCORE,HOME TEAM FINAL SCORE,ROAD TEAM REST,HOME TEAM REST,
,2016-2017 Regular Season,10/25/16,8:00 PM,New York,Cleveland,240,88,117,3+,3+,
,2016-2017 Regular Season,10/25/16,10:00 PM,Utah,Portland,240,104,113,3+,3+,
,2016-2017 Regular Season,10/25/16,10:30 PM,San Antonio,Golden State,240,129,100,3+,3+,
,2016-2017 Regular Season,10/26/16,7:00 PM,Miami,Orlando,240,108,96,3+,3+,
,2016-2017 Regular Season,10/26/16,7:00 PM,Dallas,Indiana,265,121,130,3+,3+,
,2016-2017 Regular Season,10/26/16,7:30 PM,Brooklyn,Boston,240,117,122,3+,3+,
,2016-2017 Regular Season,10/26/16,7:30 PM,Detroit,Toronto,240,91,109,3+,3+,
,2016-2017 Regular Season,10/26/16,8:00 PM,Charlotte,Milwaukee,240,107,96,3+,3+,
,2016-2017 Regular Season,10/26/16,8:00 PM,Minnesota,Memphis,240,98,102,3+,3+,
,2016-2017 Regular Season,10/26/16,8:00 PM,Denver,New Orleans,240,107,102,3+,3+,
,2016-2017 Regular Season,10/26/16,8:00 PM,Oklahoma City,Philadelphia,240,103,97,3+,3+,
,2016-2017 Regular Season,10/26/16,10:00 PM,Sacramento,Phoenix,240,113,94,3+,3+,
,2016-2017 Regular Season,10/26/16,10:30 PM,Houston,LA Lakers,240,114,120,3+,3+,
,2016-2017 Regular Season,10/27/16,7:30 PM,Washington,Atlanta,240,99,114,3+,3+,
,2016-2017 Regular Season,10/27/16,8:00 PM,Boston,Chicago,240,99,105,B2B,3+,
,2016-2017 Regular Season,10/27/16,10:30 PM,San Antonio,Sacramento,240,102,94,1,B2B,
,2016-2017 Regular Season,10/27/16,10:30 PM,LA Clippers,Portland,240,114,106,3+,1,
,2016-2017 Regular Season,10/28/16,7:00 PM,Cleveland,Toronto,240,94,91,2,1,
,2016-2017 Regular Season,10/28/16,7:30 PM,Indiana,Brooklyn,240,94,103,1,1,
,2016-2017 Regular Season,10/28/16,7:30 PM,Orlando,Detroit,240,82,108,1,1,
,2016-2017 Regular Season,10/28/16,8:00 PM,Phoenix,Oklahoma City,265,110,113,1,1,
,2016-2017 Regular Season,10/28/16,8:00 PM,Charlotte,Miami,240,97,91,1,1,
,2016-2017 Regular Season,10/28/16,8:30 PM,Houston,Dallas,240,106,98,1,1,
,2016-2017 Regular Season,10/28/16,9:00 PM,LA Lakers,Utah,240,89,96,1,2,
,2016-2017 Regular Season,10/28/16,9:30 PM,Golden State,New Orleans,240,122,114,2,1,
,2016-2017 Regular Season,10/29/16,1:00 PM,Atlanta,Philadelphia,240,104,72,1,2,
,2016-2017 Regular Season,10/29/16,7:00 PM,Boston,Charlotte,240,104,98,3IN4,3IN4-B2B,
,2016-2017 Regular Season,10/29/16,7:30 PM,Memphis,New York,240,104,111,2,3+,
,2016-2017 Regular Season,10/29/16,7:30 PM,Orlando,Cleveland,240,99,105,3IN4-B2B,B2B,
,2016-2017 Regular Season,10/29/16,8:00 PM,Indiana,Chicago,240,101,118,3IN4-B2B,1,
,2016-2017 Regular Season,10/29/16,8:00 PM,Brooklyn,Milwaukee,240,108,110,3IN4-B2B,2,
,2016-2017 Regular Season,10/29/16,8:00 PM,New Orleans,San Antonio,240,79,98,3IN4-B2B,1,
,2016-2017 Regular Season,10/29/16,9:00 PM,Portland,Denver,265,115,113,1,2,
,2016-2017 Regular Season,10/29/16,10:30 PM,Minnesota,Sacramento,240,103,106,2,3IN4,
,2016-2017 Regular Season,10/30/16,4:30 PM,Utah,LA Clippers,240,75,88,1,2,
,2016-2017 Regular Season,10/30/16,6:00 PM,Golden State,Phoenix,240,106,100,1,1,
,2016-2017 Regular Season,10/30/16,6:00 PM,San Antonio,Miami,240,106,99,3IN4-B2B,1,
,2016-2017 Regular Season,10/30/16,6:00 PM,Milwaukee,Detroit,240,83,98,B2B,1,
,2016-2017 Regular Season,10/30/16,7:00 PM,Washington,Memphis,265,103,112,2,B2B,
,2016-2017 Regular Season,10/30/16,7:00 PM,LA Lakers,Oklahoma City,240,96,113,1,1,
,2016-2017 Regular Season,10/30/16,8:00 PM,Dallas,Houston,240,92,93,1,1,
,2016-2017 Regular Season,10/31/16,7:30 PM,Denver,Toronto,240,102,105,1,2,
,2016-2017 Regular Season,10/31/16,7:30 PM,Chicago,Brooklyn,240,118,88,1,3IN4,
,2016-2017 Regular Season,10/31/16,7:30 PM,Sacramento,Atlanta,240,95,106,1,1,
,2016-2017 Regular Season,10/31/16,10:30 PM,Phoenix,LA Clippers,240,98,116,3IN4-B2B,B2B,
,2016-2017 Regular Season,11/01/16,7:00 PM,Orlando,Philadelphia,240,103,101,2,2,
,2016-2017 Regular Season,11/01/16,7:00 PM,Houston,Cleveland,240,120,128,1,2,
,2016-2017 Regular Season,11/01/16,7:00 PM,LA Lakers,Indiana,240,108,115,1,2,
,2016-2017 Regular Season,11/01/16,7:30 PM,Sacramento,Miami,265,96,108,3IN4-B2B,1,
,2016-2017 Regular Season,11/01/16,7:30 PM,New York,Detroit,240,89,102,2,1,
,2016-2017 Regular Season,11/01/16,8:00 PM,Milwaukee,New Orleans,240,117,113,3IN4,2,
,2016-2017 Regular Season,11/01/16,8:00 PM,Memphis,Minnesota,240,80,116,3IN4,2,
,2016-2017 Regular Season,11/01/16,8:30 PM,Utah,San Antonio,240,106,91,1,3IN4,
